Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1966]=3.236436545
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1967]=3.339280636
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1968]=3.521152364
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1969]=3.754744909
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1970]=4.063286182
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1971]=4.228771636
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1972]=4.426017
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1973]=4.659870818
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1974]=4.641130091
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1975]=4.651261909
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1976]=4.906878273
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1977]=5.046230727
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1978]=5.202870818
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1979]=5.350489909
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1980]=5.318526545
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1981]=5.191668273
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1982]=5.150314364
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1983]=5.183601545
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1984]=5.363114727
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1985]=5.543314364
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1986]=5.625643364
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1987]=5.801973818
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1988]=6.029398636
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1989]=6.111927818
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1990]=6.206585455
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1991]=6.339492818
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1992]=6.158188091
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1993]=6.2217
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1994]=6.264408545
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1995]=6.397830818
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1996]=6.588922636
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1997]=6.627977455
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1998]=6.603616364
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1999]=6.745197
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[2000]=6.941897182
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[2001]=7.000377
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[2002]=7.167555545
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[2003]=7.541344364
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[2004]=7.810007727
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[2005]=8.076709636
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[2006]=8.343577364
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[2007]=8.592760636
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[2008]=8.750682545
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[2009]=8.608372091
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[2010]=9.099367636
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[2011]=9.405548727
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[2012]=9.547164545
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[2013]=9.632509909
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[2014]=9.702964091
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[2015]=9.697790727
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[2016]=9.688415727
